ZipCode,Pop25YAO,LessThan9th25YAO,9To12NoDip25YAO,HSGrad25YAO,AssocDeg25YAO,BachDeg25YAO,GradOrProfDeg25YAO,HSGradOrHigher25YAO
75077,25518,346,629,4170,1883,8382,3682,24543
75078,13847,128,135,1672,1140,5702,2384,13584
75080,32726,1838,1295,3779,1754,11355,7026,29593
75081,27612,1084,984,4564,2415,8725,3651,25544
75082,16220,125,264,1779,857,6483,4273,15831
75087,22135,310,792,4008,1816,6667,3461,21033
75088,18400,443,853,4408,1580,4022,1968,17104
75089,22552,580,696,5217,2235,5364,2659,21276
75090,15305,1188,1749,5330,1374,1247,673,12368
75092,16826,625,831,4150,1786,3094,1563,15370
75093,34473,397,602,3460,1775,13786,9243,33474
75094,14421,303,499,2100,1172,5106,2873,13619
75098,34723,1444,1418,8104,2991,9108,3645,31861
75101,373,99,77,115,22,13,5,197
75102,805,109,76,245,49,158,9,620
75103,10105,327,1057,3227,872,1413,460,8721
75104,30505,1040,1554,7046,2799,5577,3551,27911
75105,119,0,17,25,19,9,0,102
75109,3120,67,204,953,279,451,337,2849
75110,18638,2361,2325,4934,1792,1717,1069,13952
75114,4254,282,501,1570,317,449,156,3471
75115,34946,893,2663,7646,3328,6258,3560,31390
75116,12377,923,1592,3431,672,1474,782,9862
75117,2600,105,257,818,218,400,156,2238
75119,17925,2179,2086,6002,1378,1796,759,13660
75124,2997,112,331,1133,295,293,191,2554
75125,4018,725,664,1206,174,212,242,2629
75126,26955,704,1210,7118,2120,5660,2903,25041
75127,1135,91,145,459,37,64,53,899
75132,996,30,9,264,104,187,140,957
75134,13023,640,1344,3967,842,1526,657,11039
75135,4748,92,301,1886,434,468,118,4355
75137,12694,787,782,3411,844,2045,1507,11125
75140,4784,441,743,1611,352,405,205,3600
75141,3770,498,705,1408,142,157,68,2567
75142,12392,988,1580,4535,1089,1040,519,9824
75143,10187,784,1299,3752,651,1102,531,8104
75144,2237,135,148,860,183,190,163,1954
75146,11474,403,941,3274,1242,1736,856,10130
75147,4652,159,348,2122,501,523,192,4145
75148,4191,315,430,1407,287,416,162,3446
75149,32480,3236,4752,9547,2408,3179,1355,24492
75150,37897,3040,4654,11618,2724,4746,2088,30203
75152,2898,340,285,941,178,323,153,2273
75153,279,81,8,77,3,30,0,190
75154,25044,1635,1926,6690,1768,4148,1909,21483
75155,1671,199,360,550,87,86,24,1112
75156,11568,534,1469,4239,739,1265,502,9565
75157,158,21,28,69,10,6,3,109
75158,2797,96,206,1053,200,300,231,2495
75159,12709,2041,1673,4428,472,906,492,8995
75160,16705,1227,1677,5588,1186,1925,848,13801
75161,4726,318,511,2016,532,274,167,3897
75163,2247,116,345,904,110,183,55,1786
75164,426,22,40,241,17,16,11,364
75165,27905,1506,2099,7533,2237,4535,1815,24300
75166,2618,53,40,590,261,592,316,2525
75167,7602,351,667,2023,690,1642,410,6584
75169,9868,643,1339,3740,672,894,282,7886
75172,2623,365,544,713,81,195,13,1714
75173,2933,94,282,990,260,391,193,2557
75180,12706,2569,2563,3474,724,608,171,7574
75181,17497,926,1071,4890,1812,2839,1562,15500
75182,4100,68,214,763,448,1168,760,3818
75189,17196,830,1160,5412,1500,3206,1069,15206
75201,12712,123,191,820,438,5931,3833,12398
75202,1675,4,3,53,97,843,425,1668
75203,10813,2115,1512,3020,287,1423,483,7186
75204,23100,1359,1004,1988,755,8322,6608,20737
75205,14971,97,61,673,374,6645,5709,14813
75206,28924,1560,1236,2715,1239,11659,6777,26128
75207,6558,298,1293,1740,308,1118,560,4967
75208,19789,3676,2253,3641,805,4000,2395,13860
75209,10823,373,609,1086,266,3935,2607,9841
75210,5009,1002,1170,1470,190,143,92,2837
75211,44344,12460,7873,12846,1532,2433,917,24011
75212,14469,3959,2876,4591,374,529,215,7634
75214,25132,691,699,2100,1019,9681,6888,23742
75215,11323,1238,1720,3657,518,1147,322,8365
75216,33857,4774,6800,12795,1220,1550,570,22283
75217,47616,13190,8301,14668,1717,1432,548,26125
75218,17099,689,591,2576,784,5367,3781,15819
75219,19941,1015,731,2037,895,7564,4950,18195
75220,26520,8195,4218,5562,422,3108,2023,14107
75223,9290,2495,1532,1795,245,1210,633,5263
75224,19680,4009,3131,5613,716,1945,706,12540
75225,15091,56,76,537,278,7273,5316,14959
75226,3702,697,501,539,218,724,274,2504
75227,33180,7072,4554,10226,1324,2475,1010,21554
75228,44676,6953,6050,12272,2556,5592,2500,31673
75229,21908,3670,1480,2772,741,6053,4160,16758
75230,21042,598,590,1820,897,7858,6166,19854
75231,26283,3875,2535,5879,1355,5501,2449,19873
75232,20701,2386,2662,7279,1003,1566,939,15653
75233,9513,1483,1230,2946,413,1088,668,6800
75234,22813,2707,1660,5368,1318,4938,1991,18446
75235,13597,2489,1322,3287,539,2454,1631,9786
75236,11024,1677,1187,3080,718,1384,483,8160
75237,11223,802,1427,3669,488,1170,422,8994
75238,21254,1756,1573,3174,946,6272,3627,17925
75240,17048,3113,1793,3361,882,3692,1656,12142
75241,19122,1566,2498,7204,1258,1476,596,15058
75243,43732,3254,3664,9066,3367,8628,4612,36814
75244,10007,209,118,853,507,4310,2479,9680
75246,1875,270,244,362,132,301,117,1361
75247,718,30,148,239,47,26,57,540
75248,27684,679,987,3485,1451,9877,6484,26018
75249,9924,760,913,2422,810,1449,598,8251
75251,1842,41,47,208,171,520,464,1754
75252,18935,483,497,2053,1026,6937,4841,17955
75253,12642,2740,2838,3422,763,568,144,7064
75254,17112,1329,1288,2830,907,4743,2483,14495
75270,0,0,0,0,0,0,0,0
75287,38610,684,1246,6710,2472,12192,5556,36680
75390,0,0,0,0,0,0,0,0
75401,12173,904,1609,4694,791,987,672,9660
75402,12013,618,651,3355,930,2172,1495,10744
75407,10390,660,735,3615,990,1562,417,8995
75409,9372,791,550,2831,760,1592,905,8031
75410,4140,171,458,1578,174,351,298,3511
75411,995,59,103,370,81,63,60,833
75412,436,16,38,158,6,31,0,382
75413,153,10,25,67,7,8,6,118
75414,1890,86,152,485,214,313,160,1652
75415,154,0,15,75,0,23,0,139
75416,1854,70,206,681,100,341,91,1578
75417,1784,120,251,556,181,138,60,1413
75418,10477,579,1188,3786,595,983,728,8710
75420,682,57,49,286,47,61,20,576
75421,328,0,36,96,43,11,11,292
75422,2239,146,210,589,120,328,178,1883
75423,2122,121,82,823,108,284,69,1919
75424,2111,140,265,717,146,199,89,1706
75426,3457,193,295,1508,266,353,63,2969
75428,5915,127,514,1879,236,828,880,5274
75431,1757,166,203,819,79,71,23,1388
75432,2246,100,284,700,124,350,240,1862
75433,1926,94,233,647,144,252,141,1599
75435,856,49,116,372,70,81,8,691
75436,1438,77,134,620,131,74,33,1227
75437,992,7,114,345,63,139,44,871
75438,622,12,42,259,54,89,40,568
75439,721,26,96,256,59,52,35,599
75440,4839,317,381,1958,388,450,176,4141
75441,89,0,0,37,0,36,16,89
75442,6735,331,396,2468,569,836,313,6008
75446,2083,126,209,658,118,351,156,1748
75447,781,25,42,271,145,22,10,714
75448,487,59,7,134,39,40,0,421
75449,945,30,91,319,141,98,67,824
75450,106,0,0,32,32,9,0,106
75451,873,53,67,215,118,132,33,753
75452,2764,130,259,1114,81,412,162,2375
75453,2150,30,343,787,174,270,41,1777
75454,5768,115,251,1394,855,1167,612,5402
75455,17229,2333,1821,5464,1250,2072,769,13075
75457,4393,304,181,1508,220,814,268,3908
75459,3523,72,259,1330,472,404,94,3192
75460,15796,769,2121,5575,1137,1483,392,12906
75462,7937,262,492,2235,674,1555,808,7183
75468,580,12,32,269,55,16,49,536
75469,247,11,29,120,23,5,15,207
75470,328,68,0,136,19,34,31,260
75471,794,127,59,308,49,63,0,608
75472,2651,183,219,1075,145,203,112,2249
75473,2569,138,204,862,316,282,125,2227
75474,10451,657,1693,3885,699,774,239,8101
75475,104,6,0,52,0,27,0,98
75476,987,85,106,247,78,87,56,796
75477,830,26,90,278,85,125,31,714
75478,679,92,43,186,63,68,18,544
75479,1330,53,129,501,100,132,64,1148
75480,1313,119,62,288,55,254,79,1132
75481,242,4,30,102,6,25,12,208
75482,16585,1102,1450,6029,921,2234,1122,14033
