ZipCode,Pop16YAO,MedianEarnings16YAO,MedianEarnings25YAO,MedianEarningsBachelors25YAO,MedianEarningsGradOrProfDeg25YAO
13365,4313,29871,34488,41300,54045
13367,4285,33964,39314,43750,62029
13368,519,30150,31688,28750,45938
13402,1100,36714,40943,,121985
13403,3650,30339,35217,47639,70227
13404,57,19792,21875,,
13406,332,36458,38036,78125,53194
13407,2589,31449,35100,42308,51480
13408,2054,10881,33438,39063,47250
13409,1344,29136,31705,29375,50139
13410,143,33472,34306,69167,
13411,1628,29733,33322,42361,49609
13413,8658,41370,45278,52679,59469
13415,36,40455,40455,,
13416,1282,33182,38036,51250,48854
13417,1711,32359,36578,47500,67222
13418,153,31058,33750,,
13420,494,29762,29196,,
13421,6384,35903,39351,47500,66676
13424,1229,34917,40018,39167,56250
13425,965,30636,35000,40625,63125
13428,685,31706,33348,39167,41111
13431,858,41204,43274,54120,51397
13433,802,30662,34559,51071,53304
13435,144,45000,47917,53750,82917
13436,100,,17188,36250,
13437,199,29792,32031,,53571
13438,1704,35491,38636,43571,60000
13439,1865,31290,35281,49063,75278
13440,19925,31577,35490,49767,65163
13441,87,34550,48750,,
13450,29,50859,51094,,
13452,2177,27998,31213,30357,61806
13454,247,30750,34423,37143,
13456,2216,35180,41742,51964,64063
13459,1325,32022,35966,40147,57750
13460,2332,25878,31808,36458,44926
13461,1662,36559,41400,61136,65595
13464,669,25744,27536,18125,
13468,280,34904,35917,32946,45833
13469,487,41467,42750,,
13470,293,30347,32431,31250,76250
13471,1631,30942,33771,34375,54625
13472,49,,,,
13473,363,34141,39583,58438,59750
13475,8,51667,51667,,
13476,1864,45022,47891,59408,83750
13477,752,48452,50673,,
13478,1355,33839,36052,47875,49236
13480,1827,34432,39125,36932,54875
13483,177,31420,31974,,
13484,144,53750,53750,,
13485,547,29632,35962,33750,
13486,455,31125,31800,,
13488,65,42361,55000,70000,
13489,321,30313,33125,53750,58958
13490,904,36080,50496,60547,51786
13491,1989,31469,36916,45536,63571
13492,6042,37720,41499,50086,64899
13493,911,27629,31886,,
13494,226,28542,45000,68000,
13495,1102,32292,33584,37321,68015
13501,16754,24473,29444,45154,63830
13502,16052,28126,32741,44194,60563
13601,19185,28338,33466,47218,62639
13602,3715,22923,26875,35179,
13603,4796,30771,41278,43343,76172
13605,2382,30077,35457,50000,62734
13606,1557,32409,36575,,58947
13607,666,31389,37176,56563,54861
13608,711,30994,32868,36250,51000
13612,1214,39762,40938,69531,53203
13613,1187,30797,30859,20526,54375
13614,173,30341,31591,,
13615,596,36045,37944,28558,75461
13616,1207,26740,32596,,62885
13617,6207,15556,45316,50990,65833
13618,771,26991,29028,32500,62250
13619,5430,31688,38406,45063,60598
13620,775,27279,31484,35833,45673
13621,217,41625,50417,,58523
13622,1220,31548,37258,67375,59844
13623,3,,,,
13624,2811,32272,36036,54141,51432
13625,868,29795,34153,29650,54688
13626,1247,30708,34531,48438,71250
13628,102,34286,38125,,66250
13630,593,28533,33000,33833,60500
13633,168,31618,34643,68438,56500
13634,1986,36923,41452,69028,63906
13635,489,26793,32500,58750,53333
13636,107,32083,33750,51875,
13637,2511,32328,39741,39508,61354
13638,215,23783,,,
13639,138,,43250,,
13640,156,37500,42917,,55673
13641,14,,,,
13642,4576,22371,29785,56875,64213
13643,0,,,,
13646,922,26198,26823,26625,65625
13647,4,,,,
13648,1047,35509,40272,76875,53750
13650,887,28101,29952,48438,73472
13651,49,44583,44583,,103750
13652,758,30489,31912,35865,43929
13654,1194,26940,32181,49500,65625
13655,1176,47667,58599,,
13656,1430,26270,32788,30625,61324
13658,1193,33053,38090,31806,67212
13659,216,27813,35391,74375,
13660,816,30208,40117,41944,60313
13661,691,36055,36851,,57813
13662,7371,32479,36747,51157,53850
13664,150,33750,38958,39000,75625
13665,357,30458,30667,,
13666,100,25357,26429,,
13667,1368,26823,29583,45833,38566
13668,1781,31972,33281,47614,63661
13669,6666,31232,32768,44000,55213
13670,168,22500,26667,53500,
13672,418,35714,43555,52847,63250
13673,1209,31615,34346,34219,62188
13674,23,,,,
13675,186,18125,31071,,
13676,9794,13333,40951,52917,56283
13677,53,46172,,,
13678,116,40093,40463,,
13679,1098,26909,35337,50417,68050
13680,716,17031,28438,,70000
13681,355,32083,32727,23977,63750
13682,440,40469,42946,36667,77813
13684,522,33824,36625,56026,130064
13685,1301,45074,50750,60104,65417
13687,253,23750,31298,,49063
13690,278,42750,44313,40000,58750
13691,1488,28589,32434,44667,67917
13692,45,2500,2500,,
13693,143,25917,26750,,
13694,688,40909,44375,75694,57917
13695,131,,31429,75417,
13696,47,58272,58272,,
13697,1068,28036,28147,38938,52279
13730,1259,31994,35469,72059,55060
13731,434,26371,29318,26429,41786
13732,4296,42127,49732,60192,68661
13733,2586,32068,36942,39412,52400
13734,999,32457,39559,,
13736,1031,35368,39135,53896,62708
13739,459,30573,32292,36786,
13740,336,31667,36333,44028,56250
13743,1975,31121,33164,58125,57132
13744,683,32473,35784,41806,47813
13746,1019,39122,42180,55089,65667
13748,1965,35145,37335,,59492
13750,582,30345,32891,,58333
13751,53,,,,
13752,448,34250,35134,78125,75000
13753,3570,11442,38586,40595,63333
13754,1437,27318,31667,32188,53583
13755,610,31852,38125,2500,43304
13756,165,31125,30625,,
13757,706,27885,31436,46848,49063
13760,23376,32947,39096,60279,60107
13774,92,28269,28269,,
13775,928,30156,39821,37500,53750
13776,262,29167,30962,48750,40625
13777,179,41417,48281,58750,
13778,2983,32204,37965,44362,58841
13780,440,45000,46923,63194,
13782,315,33375,38897,38333,87813
13783,1284,23222,25990,27404,54167
13784,37,22266,,,
13786,203,22083,30735,43056,
13787,1475,31653,35536,70347,
13788,552,28864,32969,33542,48438
13790,9293,27377,31962,39153,60040
13794,38,19167,19167,,
13795,1674,36429,38935,54048,49167
13796,754,34900,37625,49000,
13797,1089,30557,33452,,54911
13801,663,22188,26793,32727,52000
13802,255,33320,34961,63875,
13803,2152,30527,36505,49028,52708
13804,209,31292,32125,,
13806,144,27159,27188,40833,
13807,699,33977,37558,34375,52321
13808,764,27292,31563,30000,44375
13809,791,31190,32344,,139444
13810,690,31107,32917,33750,67614
13811,2202,39800,43024,69286,69607
13812,1303,33393,38125,38542,55000
13813,220,37174,43088,,62054
13815,6486,30628,35866,60286,55066
13820,13505,13224,35680,30375,57689
13825,1819,26905,31090,29667,54891
13826,0,,,,
13827,6077,32050,38358,67244,54612
13830,2562,28730,32028,31094,53083
13832,339,32083,34188,50455,
13833,2352,29583,35229,56078,68929
13834,170,24297,30583,,
13835,662,29783,35875,41250,
13838,2118,27330,34333,36667,54187
13839,484,26111,29107,,52045
13841,312,36000,40000,45357,54853
13842,264,26364,43750,,82750
13843,1032,31327,32361,32708,53594
13844,407,24263,30655,49500,
13845,0,,,,
13846,151,14479,14479,10781,13333
13847,48,,,,
13849,2123,31760,35313,44167,63750
13850,11093,33768,42314,45873,69930
13856,3070,24741,29195,53421,
13859,115,40551,,,
13860,7,,,,
13861,157,35583,36750,,
13862,2322,35984,41896,62500,59524
13863,376,33750,39231,,60625
13864,543,31784,32023,,
13865,3330,31049,33720,54427,54655
13901,9370,28981,36102,42586,62031
13902,4051,2500,,,
13903,9630,27992,34572,39934,62773
13904,4705,26137,31910,42583,56250
13905,13132,22382,31291,39167,54715
14001,5143,35574,37428,64496,65188
