ZipCode,NonHispanic,WhiteAlone,AfricanAmericanAlone,AmericanIndianAlaskaNative,AsianAlone,NativeHawaiianPacificIslander,OtherNonHispanic,Hispanic
29072,57265,50694,3513,245,1525,142,1146,2816
29074,112,112,0,0,0,0,0,0
29114,1753,880,792,77,0,0,4,10
29123,7835,6931,678,3,76,0,147,690
29178,3200,2437,740,0,14,9,0,11
29223,46879,14264,28232,125,2748,15,1495,3991
29306,15587,5717,9516,26,104,0,224,498
29322,8069,7611,180,32,133,0,113,212
29376,7450,6070,1292,0,56,0,32,392
29403,21425,11201,9664,13,229,0,318,463
29406,27520,11090,15059,36,405,0,930,6464
29414,37975,29591,6582,8,969,0,825,1545
29471,1408,844,563,0,1,0,0,47
29527,24640,16526,7335,20,254,0,505,1276
29530,2222,2002,174,0,0,0,46,103
29850,200,200,0,0,0,0,0,0
29856,2569,2099,369,72,0,0,29,119
29906,22724,11973,9828,255,191,0,477,2425
29916,1537,1006,484,0,0,0,47,0
29928,15592,14855,471,15,198,6,47,774
29929,1002,581,388,0,4,0,29,0
29160,7615,5862,1566,64,22,0,101,218
29070,15003,13364,1327,13,47,29,223,911
29113,1211,567,634,0,0,0,10,0
29133,919,286,630,0,0,0,3,0
29335,5717,4407,1071,10,0,0,229,222
29164,5172,3140,1819,103,4,0,106,18
29205,23813,17180,5480,0,722,0,431,943
29301,30710,15809,12984,69,1344,0,504,4994
29360,19317,12299,6424,24,89,0,481,1334
29431,6920,6027,655,54,141,0,43,27
29451,4209,4002,0,0,64,0,143,221
29493,164,77,87,0,0,0,0,0
29505,23947,14055,8893,12,556,0,431,903
29543,582,247,191,0,0,0,144,0
29563,2192,1560,612,20,0,0,0,0
29564,765,77,667,0,0,0,21,0
29624,15600,8459,6556,12,41,0,532,494
29627,18743,15659,2622,53,26,0,383,558
29650,31254,25529,2591,207,2265,0,662,3632
29653,4517,3048,1306,6,22,0,135,165
29655,6804,5866,904,0,0,0,34,111
29684,3909,3398,289,0,0,0,222,6
29702,9740,8067,1076,52,7,11,527,238
29590,2857,458,2322,0,0,0,77,431
29560,12709,4752,7685,34,218,0,20,583
29567,518,190,216,85,0,0,27,16
29574,11085,4996,5891,38,52,0,108,361
29582,15916,14178,1160,88,334,0,156,632
29625,27240,21935,4724,23,0,5,553,1573
29635,1220,1158,25,9,10,0,18,5
29683,205,205,0,0,0,0,0,0
29686,924,874,15,0,0,0,35,11
29697,12906,11219,1212,41,236,0,198,524
29001,1918,979,935,0,0,0,4,111
29481,1555,626,889,4,0,0,36,48
29512,17484,6266,10542,218,35,0,423,698
29550,31226,20548,9888,231,187,0,372,726
29579,38300,33149,3538,119,765,0,729,1972
29584,2347,2222,125,0,0,0,0,18
29591,5321,3617,1542,19,0,0,143,29
29532,20416,9655,10337,13,59,0,352,359
29540,5265,2013,3156,0,0,9,87,118
29545,1389,1028,346,15,0,0,0,55
29546,2642,1076,1566,0,0,0,0,323
29554,8567,3841,4694,0,11,0,21,15
29555,5742,3967,1750,0,25,0,0,82
29556,11898,2597,9060,0,81,0,160,191
29566,16579,13898,1950,205,476,0,50,1024
29572,9083,8230,680,9,23,0,141,312
29576,30589,28288,1509,129,290,0,373,448
29583,4931,2994,1874,0,0,0,63,54
29596,2077,1488,506,23,20,0,40,93
29605,33924,17623,14866,44,194,0,1197,3206
29609,26376,20267,4934,59,583,90,443,2815
29611,24301,14384,9217,17,148,0,535,5973
29628,2482,1334,961,0,0,0,187,23
29645,9212,7212,1774,41,0,1,184,431
29659,89,52,37,0,0,0,0,0
29665,72,72,0,0,0,0,0,68
29672,11783,10823,744,24,125,0,67,370
29685,1704,1596,79,0,10,0,19,0
29691,9499,8351,530,0,135,0,483,1614
29704,3612,3255,200,0,0,0,157,81
29849,518,297,221,0,0,0,0,0
29743,838,838,0,0,0,0,0,23
29829,11034,7887,2945,44,68,0,90,845
29847,5182,2569,2559,0,0,0,54,324
29851,7068,6013,944,15,47,0,49,260
29910,32366,28494,2487,32,593,4,756,8652
29923,377,45,312,0,0,0,20,0
29941,587,254,333,0,0,0,0,0
29935,3569,2394,855,0,213,0,107,359
29936,12826,6117,6558,27,38,0,86,840
29075,2611,1972,639,0,0,0,0,417
29081,1224,766,453,0,5,0,0,93
29111,1619,893,689,0,0,0,37,44
29122,40,24,16,0,0,0,0,0
29142,5176,1574,3383,0,12,0,207,11
29152,1686,1244,261,0,30,0,151,141
29161,10790,5428,5168,12,35,0,147,471
29166,832,623,207,0,0,0,2,17
29170,20494,16417,2876,24,445,0,732,1061
29206,18097,14106,3079,118,324,85,385,1085
29229,47558,15444,28062,81,2280,189,1502,3308
29323,12128,10470,1272,14,182,0,190,361
29330,8524,7673,516,0,169,0,166,463
29341,19392,13601,5410,0,145,14,222,1090
29351,1319,1212,95,0,0,12,0,10
29355,928,814,101,0,13,0,0,0
29356,8137,7551,475,0,33,0,78,322
29379,17142,10616,5987,0,3,0,536,343
29670,9001,6628,1874,20,202,34,243,296
29680,29695,22801,5996,34,405,7,452,2336
29681,54254,44302,6891,102,1815,0,1144,3705
29709,7071,5094,1823,0,20,9,125,10
29724,39,39,0,0,0,0,0,0
29730,53308,28659,21468,1043,631,28,1479,2629
29745,29957,24615,4842,11,238,0,251,740
29812,11007,5876,4924,1,17,0,189,350
29831,4125,2790,1109,0,14,0,212,207
29842,6943,3641,3082,36,9,0,175,519
29843,1189,1021,163,0,0,0,5,6
29212,28153,19925,6386,0,1032,0,810,1433
29303,22201,12926,7671,9,966,0,629,2888
29365,10843,9428,1164,46,156,0,49,368
