ZipCode,OccupiedUnits,OwnerOccupiedUnits,RenterOccupiedUnits
02921,4474,3726,748
03031,4036,3717,319
03032,1982,1771,211
03033,1715,1578,137
03034,1527,1426,101
03036,1683,1645,38
03037,1671,1483,188
03038,13095,8211,4884
03042,2569,2213,356
03043,658,613,45
03044,1715,1491,224
03045,5105,4134,971
03046,960,889,71
03047,642,501,141
03048,1415,1187,228
03049,2954,2720,234
03051,9054,7353,1701
03052,2983,2584,399
03053,8963,7804,1159
03054,10034,8771,1263
03055,6244,4000,2244
03057,864,786,78
03060,12155,4110,8045
03062,11340,8012,3328
03063,6975,4260,2715
03064,5804,3361,2443
03070,1914,1760,154
03071,1837,1621,216
03076,4631,4133,498
03077,4104,3355,749
03079,11413,8763,2650
03082,639,584,55
03084,504,460,44
03086,1649,1363,286
03087,5010,4739,271
03101,1657,154,1503
03102,13357,5174,8183
03103,13987,6369,7618
03104,13489,6465,7024
03106,5181,4052,1129
03109,4050,3026,1024
03110,7787,6728,1059
03215,78,72,6
03216,933,766,167
03217,850,494,356
03218,317,265,52
03220,2928,2633,295
03221,867,749,118
03222,2283,1737,546
03223,1378,1009,369
03224,948,897,51
03225,1241,1101,140
03226,413,359,54
03227,446,375,71
03229,2129,1877,252
03230,551,494,57
03231,108,93,15
03233,50,45,5
03234,1773,1410,363
03235,3797,2345,1452
03237,900,853,47
03238,50,39,11
03240,488,435,53
03241,343,311,32
03242,1795,1333,462
03243,384,352,32
03244,3021,2668,353
03245,787,631,156
03246,6967,3981,2986
03249,3048,2703,345
03251,530,314,216
03253,2752,2069,683
03254,1714,1469,245
03255,875,820,55
03256,925,794,131
03257,1698,1398,300
03258,976,890,86
03259,153,135,18
03260,303,254,49
03261,1636,1419,217
03262,427,288,139
03263,1691,975,716
03264,2256,1448,808
03266,888,748,140
03268,470,455,15
03269,1152,973,179
03273,150,141,9
03275,4419,3322,1097
03276,3261,2201,1060
03278,1112,773,339
03279,334,283,51
03280,529,502,27
03281,3158,2768,390
03282,346,295,51
03284,341,282,59
03285,1056,948,108
03287,670,521,149
03290,1774,1676,98
03291,40,40,0
03293,53,42,11
03301,13178,6847,6331
03303,6145,4202,1943
03304,2752,2442,310
03307,2075,1762,313
03431,10336,5622,4714
03440,1048,822,226
03441,89,36,53
03442,596,421,175
03443,199,151,48
03444,578,477,101
03445,303,243,60
03446,2407,1939,468
03447,1010,862,148
03448,289,254,35
03449,779,659,120
