ZipCode,Pop16YAO,UnEmpRate16YAO,UnEmpRate20to64Y
01467,324,0.0,0.0
01468,3503,5.3,4.1
01469,5945,4.3,3.8
01473,6115,5.1,5.7
01474,1545,4.7,4.4
01475,8515,5.4,4.9
01501,13914,4.9,4.5
01503,2601,2.9,2.8
01504,7646,5.8,5.0
01505,3734,2.7,1.7
01506,2840,3.6,1.2
01507,10767,7.5,6.5
01510,11425,4.0,3.7
01515,1732,3.0,2.9
01516,6904,2.5,1.4
01518,2869,0.5,0.6
01519,5431,3.9,2.9
01520,12392,4.5,4.4
01521,2105,8.9,7.2
01522,2486,2.8,3.5
01523,6512,4.8,3.4
01524,5991,4.8,4.4
01525,276,9.1,9.7
01527,11192,6.6,6.2
01529,2555,3.9,2.7
01531,1042,7.2,3.9
01532,11897,3.2,3.0
01534,5205,4.1,3.3
01535,3954,5.2,4.5
01536,6215,6.1,6.1
01537,1919,4.1,1.8
01540,9135,4.2,4.0
01541,2837,2.9,2.9
01542,1856,4.2,3.4
01543,6901,3.0,3.0
01545,29094,4.2,3.1
01550,13734,8.1,6.7
01560,3394,4.7,4.2
01561,269,10.4,14.2
01562,10161,4.9,3.9
01564,6569,3.8,3.6
01566,4533,3.0,2.4
01568,5967,6.0,4.7
01569,11302,7.2,7.5
01570,13895,7.4,5.9
01571,9502,6.7,5.3
01581,14576,3.1,2.7
01583,6744,3.6,3.9
01585,3863,4.6,4.4
01588,7557,3.8,3.5
01590,7481,2.3,1.4
01602,20446,3.8,4.1
01603,15731,8.1,8.2
01604,29997,6.7,6.4
01605,22061,7.5,7.0
01606,16417,5.3,3.8
01607,7040,5.8,6.2
01608,2838,13.9,12.9
01609,19287,7.2,7.4
01610,20002,7.8,8.3
01611,1841,3.9,3.9
01612,4080,1.4,1.3
01701,27402,3.7,3.8
01702,32018,6.5,5.3
01718,674,11.5,4.1
01719,4738,6.3,6.4
01720,17827,3.5,3.0
01721,13912,2.8,2.6
01730,10967,6.3,5.8
01731,1225,8.4,7.0
01740,3944,3.0,2.9
01741,4083,5.3,4.9
01742,15235,3.3,2.9
01745,397,8.5,9.2
01746,11338,3.5,3.5
01747,4760,5.5,5.4
01748,13183,4.4,3.6
01749,16702,3.9,3.7
01752,32918,4.7,4.8
01754,8631,1.2,0.9
01756,4890,3.4,1.6
01757,22796,5.7,5.5
01760,28026,3.2,2.8
01770,3342,1.9,1.7
01772,7409,3.6,3.6
01773,4102,3.6,3.5
01775,5506,2.8,2.6
01776,14298,3.8,3.5
01778,10814,1.2,1.2
01801,33680,3.7,3.4
01803,22152,4.7,4.0
01810,27970,3.4,3.1
01821,27451,3.8,3.3
01824,21194,3.7,3.9
01826,25138,4.6,4.4
01827,2725,3.8,4.0
01830,21304,7.3,7.1
01832,18591,5.6,4.7
01833,6891,2.9,2.3
01834,5529,2.8,2.6
01835,10454,3.5,3.7
01840,4211,12.4,10.1
01841,37217,9.8,8.4
01843,19424,8.6,7.8
01844,41064,6.6,5.7
01845,24433,3.8,3.9
